Year,State,Households_Demanded,Households_Provided,Person_Days_Generated,Expenditure_Cr
2017,Karnataka,1200000,1000000,25000000,3500
2017,Maharashtra,1500000,1300000,30000000,4200
2017,Tamil Nadu,1100000,950000,22000000,3100
2017,Bihar,1800000,1500000,35000000,5000
2017,Uttar Pradesh,2500000,2200000,50000000,7000
2018,Karnataka,1300000,1100000,26000000,3600
2018,Maharashtra,1550000,1350000,31000000,4300
2018,Tamil Nadu,1150000,1000000,23000000,3200
2018,Bihar,1850000,1600000,36000000,5200
2018,Uttar Pradesh,2600000,2300000,51000000,7200
2019,Karnataka,1250000,1150000,27000000,3700
2019,Maharashtra,1600000,1400000,32000000,4400
2019,Tamil Nadu,1200000,1050000,24000000,3300
2019,Bihar,1900000,1700000,37000000,5400
2019,Uttar Pradesh,2700000,2400000,52000000,7400
2020,Karnataka,1400000,1200000,28000000,3800
2020,Maharashtra,1650000,1450000,33000000,4600
2020,Tamil Nadu,1250000,1100000,25000000,3400
2020,Bihar,2000000,1800000,38000000,5600
2020,Uttar Pradesh,2800000,2500000,53000000,7600
2021,Karnataka,1500000,1250000,29000000,4000
2021,Maharashtra,1700000,1500000,34000000,4800
2021,Tamil Nadu,1300000,1150000,26000000,3600
2021,Bihar,2100000,1900000,39000000,5800
2021,Uttar Pradesh,2900000,2600000,54000000,7800
